Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202301,23545,ED-D,605,A01,EDUCATIONAL PSYCHOLOGY,LEC,"Arvay, Emily",1.5,M,HHB,128,1330,1620,W,09-Jan-23,06-Apr-23,15,10,Educ Psychology & Leadership,ED,A
202301,21221,ED-D,610,A01,CONTMP ISSUES:HIGHER EDUCATION,LEC,"Kulikova, Nadia",1.5,M,HHB,110,1630,1920,R,19-Jan-23,06-Apr-23,15,10,Educ Psychology & Leadership,ED,A
202301,21221,ED-D,610,A01,CONTMP ISSUES:HIGHER EDUCATION,LEC,"Kulikova, Nadia",1.5,M,MAC,D111,1630,1920,R,12-Jan-23,12-Jan-23,15,10,Educ Psychology & Leadership,ED,A
202301,24439,ED-D,690,A02,ADVN DIR STUD:EDUC PSYC,L02,"Sukhawathanakul, Paweena",1.5,M,,,,,,09-Jan-23,06-Apr-23,1,1,Educ Psychology & Leadership,ED,A
202301,21223,ED-D,693,A01,DOCTORAL CANDIDACY EXAM,LEC,TBD,3,M,,,,,,09-Jan-23,26-Apr-23,45,1,Educ Psychology & Leadership,ED,A
202301,21224,ED-D,693,A02,DOCTORAL CANDIDACY EXAM,LEC,TBD,3,ONL,,,,,,09-Jan-23,26-Apr-23,45,0,Educ Psychology & Leadership,ED,A
202301,21226,ED-D,699,A02,PH D DISSERTATION,LEC,TBD,30,ONL,,,,,,09-Jan-23,26-Apr-23,45,11,Educ Psychology & Leadership,ED,A
202301,21225,ED-D,699,A01,PH D DISSERTATION,LEC,TBD,30,M,,,,,,09-Jan-23,26-Apr-23,45,9,Educ Psychology & Leadership,ED,A
202301,23878,ED-P,251,A02,3 WK PRCTCM: ELEM EDUCTN,PRA,"Farish, Maureen",1.5,CRA,,,800,1550,MTWRF,17-Apr-23,05-May-23,25,15,Curriculum and Instruction,ED,A
202301,23740,ED-P,251,A01,3 WK PRCTCM: ELEM EDUCTN,PRA,"Bell, Dana",1.5,OFF,,,,,,17-Apr-23,05-May-23,66,64,Curriculum and Instruction,ED,A
202301,21227,ED-P,301,A01,COMMUNITY EXPERIENCE,LEC,"Riecken, Ted",1.5,M,CLE,A312,1630,1920,W,09-Jan-23,06-Apr-23,30,13,Curriculum and Instruction,ED,A
202301,23879,ED-P,351,A02,SIX WEEK PRACTCUM (ELEM EDUC),PRA,"Farish, Maureen",1.5,CRA,,,800,1550,MTWRF,17-Apr-23,26-May-23,25,13,Curriculum and Instruction,ED,A
202301,23745,ED-P,351,A01,SIX WEEK PRACTCUM (ELEM EDUC),PRA,"Bell, Dana",1.5,OFF,,,,,,17-Apr-23,26-May-23,66,67,Curriculum and Instruction,ED,A
202301,23746,ED-P,361,A01,SIX-WEEK PRACTICUM,PRA,"Bell, Dana",1.5,OFF,,,,,,17-Apr-23,26-May-23,66,33,Curriculum and Instruction,ED,A
