Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 370,1.7308329888157203,Fall,2023,3,Computer Science,147.0,119.0
ECE 255,1.71403712091437,Fall,2023,2,Electrical & Computer Engg,146.0,121.0
ECE 260,1.71403712091437,Fall,2023,2,Electrical & Computer Engg,143.0,119.0
ECE 355,1.71403712091437,Fall,2023,3,Electrical & Computer Engg,136.0,113.0
ECE 360,1.999486447111325,Fall,2023,3,Electrical & Computer Engg,133.0,112.0
SENG 265,1.3776586902754577,Fall,2023,2,Engineering & Computer Science,130.0,113.0
SENG 275,1.3776586902754577,Fall,2023,2,Engineering & Computer Science,127.0,112.0
SENG 310,1.3776586902754577,Fall,2023,3,Engineering & Computer Science,122.0,107.0
SENG 321,1.3776586902754577,Fall,2023,3,Engineering & Computer Science,120.0,106.0
SENG 350,2.2214568185871673,Fall,2023,3,Engineering & Computer Science,117.0,105.0
SENG 360,1.4129177893117206,Fall,2023,3,Engineering & Computer Science,115.0,103.0
CSC 360,1.7240071830572798,Summer,2019,3,Computer Science,149.0,119.0
CSC 115,1.3816453986983719,Summer,2020,1,Computer Science,169.0,133.0
CSC 225,1.3816453986983719,Summer,2020,2,Computer Science,164.0,128.0
CSC 226,1.3816453986983719,Summer,2020,2,Computer Science,162.0,127.0
CSC 230,1.7240071830572798,Summer,2020,2,Computer Science,159.0,126.0
CSC 320,1.3816453986983719,Summer,2020,3,Computer Science,154.0,121.0
CSC 360,1.7240071830572798,Summer,2020,3,Computer Science,149.0,119.0
CSC 370,1.7308329888157203,Summer,2020,3,Computer Science,144.0,116.0
ECE 260,1.71403712091437,Summer,2020,2,Electrical & Computer Engg,141.0,117.0
ECE 310,1.7214958597388421,Summer,2020,3,Electrical & Computer Engg,135.0,112.0
SENG 265,1.684129061737789,Summer,2020,2,Engineering & Computer Science,127.0,111.0
SENG 275,1.3776586902754577,Summer,2020,2,Engineering & Computer Science,125.0,109.0
SENG 310,1.684129061737789,Summer,2020,3,Engineering & Computer Science,120.0,105.0
SENG 426,2.2214568185871673,Summer,2020,4,Engineering & Computer Science,102.0,94.0
SENG 440,1.4129177893117206,Summer,2020,4,Engineering & Computer Science,100.0,93.0
